,citations,citations_rank,news,news_rank,twitter,twitter_rank,program,grant_id,type,n_dois,authors_count,award_amount
1980,191.75,43.0,1.0,196.0,52.0,24.0,PCRP,PC140318P2,Synergistic Idea Development Award,4,9.0,0.27919
1990,58.666666666666664,228.0,1.0,196.0,40.666666666666664,39.0,PCRP,PC140519,Synergistic Idea Development Award,3,16.0,0.659099
1792,11.0,918.0,1.0,196.0,3.5,350.0,PCRP,PC112061,Impact Award,3,11.666666666666666,0.966236
1784,45.0,308.0,1.0,196.0,5.333333333333333,247.0,PCRP,PC111812P2,Synergistic Idea Development Award,5,3.8,0.394642
42,,,1.0,196.0,2.0,495.0,NFRP,NF030008,Investigator-Initiated Research Award,11,9.818181818181818,1.820393
1668,19.0,687.0,1.0,196.0,1.0,649.0,PCRP,PC102037,Health Disparity Training Award - Predoctoral - PhD and MD/PhD,2,9.0,0.089212
1510,101.0,112.0,1.0,196.0,6.4,223.0,PCRP,PC094302,Physician Research Training Award,5,15.2,0.416354
1518,14.0,824.0,1.0,196.0,,,PCRP,PC094373,New Investigator Award,1,6.0,0.356557
1536,27.466666666666665,523.0,1.0,196.0,4.1,284.0,PCRP,PC094474,Physician Research Training Award,17,6.882352941176471,0.418585
1549,21.5,634.0,1.0,196.0,2.0,495.0,PCRP,PC094596,Prostate Cancer Training Award - Predoctoral - PhD and MD/PhD,2,13.5,0.099219
1594,26.666666666666668,538.0,1.0,196.0,4.666666666666667,275.0,PCRP,PC100663,Idea Development Award - New Investigator Option,5,15.5,0.70996
1609,63.0,210.0,1.0,196.0,3.0,367.0,PCRP,PC100933,Idea Development Award - Established Investigator,4,7.0,0.783
1612,14.625,819.0,1.0,196.0,10.142857142857142,149.0,PCRP,PC100952P1,Synergistic Idea Development Award,11,16.846153846153847,0.658455
1642,242.2,27.0,1.0,196.0,8.333333333333334,178.0,PCRP,PC101832,Prostate Cancer Training Award - Postdoctoral - Ph.D or MD,5,8.4,0.1242
1686,26.0,544.0,1.0,196.0,1.0,649.0,PCRP,PC110080,Postdoctoral Training Award,2,6.5,0.116164
1782,45.0,308.0,1.0,196.0,5.333333333333333,247.0,PCRP,PC111812,Synergistic Idea Development Award,5,3.8,0.392225
1700,9.5,978.0,1.0,196.0,4.0,286.0,PCRP,PC110389,Impact Award,5,8.6,1.09489
1709,37.0,372.0,1.0,196.0,3.5,350.0,PCRP,PC110483,Postdoctoral Training Award,2,8.0,0.1242
1736,39.0,351.0,1.0,196.0,2.0,495.0,PCRP,PC111098,Idea Development Award - New Investigator Option,3,9.0,0.336376
1743,17.666666666666668,744.0,1.0,196.0,2.25,491.0,PCRP,PC111190,Idea Development Award - Established Investigator,4,6.0,0.558552
1759,,,1.0,196.0,7.0,200.0,PCRP,PC111510,Synergistic Idea Development Award,1,14.0,0.776475
1776,19.333333333333332,684.0,1.0,196.0,1.0,649.0,PCRP,PC111721,Synergistic Idea Development Award,8,6.375,0.394329
1777,21.0,645.0,1.0,196.0,1.25,640.0,PCRP,PC111721P1,Synergistic Idea Development Award,8,6.5,0.3975
1778,14.625,819.0,1.0,196.0,1.0,649.0,PCRP,PC111721P2,Synergistic Idea Development Award,8,5.125,0.35022
1783,45.0,308.0,1.0,196.0,5.333333333333333,247.0,PCRP,PC111812P1,Synergistic Idea Development Award,5,3.8,0.382597
